北京,北京,晴,36,西南风,西南风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101010100.shtml
北京,海淀,晴,36,西南风,西南风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101010200.shtml
北京,朝阳,晴,36,西南风,西南风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101010300.shtml
北京,顺义,晴,36,西南风,东风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101010400.shtml
北京,怀柔,晴,36,南风,东北风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101010500.shtml
北京,通州,晴,35,西南风,东风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101010600.shtml
北京,昌平,晴,36,南风,北风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101010700.shtml
北京,延庆,晴,34,西南风,北风,<3级,<3级,34,34,http://www.weather.com.cn/weather/101010800.shtml
北京,丰台,晴,36,西南风,北风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101010900.shtml
北京,石景山,晴,35,西南风,北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101011000.shtml
北京,大兴,晴,35,西南风,西南风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101011100.shtml
北京,房山,晴,35,西南风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101011200.shtml
北京,密云,晴,36,东北风,东北风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101011300.shtml
北京,门头沟,晴,35,西南风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101011400.shtml
北京,平谷,晴,36,北风,东风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101011500.shtml
北京,东城,晴,36,西南风,西南风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101011600.shtml
北京,西城,晴,36,西南风,西南风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101011700.shtml
天津,天津,多云,35,西风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030100.shtml
天津,武清,多云,35,西北风,东风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030200.shtml
天津,宝坻,多云,35,西风,东风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030300.shtml
天津,东丽,多云,35,西风,东风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030400.shtml
天津,西青,多云,35,西风,东南风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030500.shtml
天津,北辰,多云,35,西风,东风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030600.shtml
天津,宁河,多云,34,西风,东风,<3级,<3级,34,34,http://www.weather.com.cn/weather/101030700.shtml
天津,和平,多云,35,西风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030800.shtml
天津,静海,多云,35,西风,西南风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101030900.shtml
天津,津南,多云,35,西风,东风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101031000.shtml
天津,滨海新区,多云,34,西风,东风,<3级,3-4级,34,34,http://www.weather.com.cn/weather/101031100.shtml
天津,河东,多云,35,西风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101031200.shtml
天津,河西,多云,35,西风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101031300.shtml
天津,蓟州,多云,34,西风,东风,<3级,<3级,34,34,http://www.weather.com.cn/weather/101031400.shtml
天津,南开,多云,35,西风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101031500.shtml
天津,河北,多云,35,西风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101031600.shtml
天津,红桥,多云,35,西风,东北风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101031700.shtml
河北,石家庄,多云,35,南风,南风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101090101.shtml
河北,保定,晴,34,西南风,西南风,<3级,<3级,34,34,http://www.weather.com.cn/weather/101090201.shtml
河北,张家口,晴,34,西北风,西风,<3级,<3级,34,34,http://www.weather.com.cn/weather/101090301.shtml
河北,承德,晴,36,西北风,东风,<3级,<3级,36,36,http://www.weather.com.cn/weather/101090402.shtml
河北,唐山,晴,35,西风,东风,<3级,<3级,35,35,http://www.weather.com.cn/weather/101090501.shtml
